Gene Profile Size	Taxon Profile Size	Semantic similarity
15	246	0.401666003
15	52	0.094925766
15	39	0.093714435
15	34	0.492703993
15	2	0.017216749
15	60	0.424139706
15	166	0.524980396
15	83	0.424139706
15	614	0.424139706
15	4	0.065285297
15	10	0.096137097
15	233	0.523350231
15	16	0.065285297
15	230	0.563528459
15	37	0.45842185
15	34	0.3791923
15	177	0.401666003
15	41	0.401666003
15	606	0.50721203
15	11	0.096137097
15	116	0.492703993
15	789	0.45842185
15	6	0.096137097
15	19	0.492703993
15	43	0.424139706
15	25	0.377014543
15	64	0.45842185
15	247	0.492703993
15	20	0.260138402
15	361	0.45842185
15	171	0.492703993
15	4	0.020627381
15	566	0.521720067
15	2	0.065285297
15	9	0.034433497
15	6	0.349106809
15	2	0.017216749
15	110	0.411296687
15	21	0.294420545
15	47	0.377014543
15	4	0.065285297
15	55	0.492703993
15	14	0.35454084
15	444	0.401666003
15	9	0.096137097
15	179	0.608995975
15	118	0.492703993
15	24	0.329889381
15	12	0.065285297
15	36	0.093714435
15	40	0.096137097
15	17	0.096137097
15	17	0.096137097
15	72	0.45842185
15	11	0.096137097
15	222	0.523350231
15	22	0.492703993
15	63	0.492703993
15	97	0.3791923
15	105	0.096137097
15	7	0.065285297
15	176	0.3791923
15	4	0.051479181
15	6	0.424139706
15	8	0.034433497
15	17	0.094925766
15	2	0.065285297
15	23	0.096137097
15	7	0.029802036
15	50	0.096137097
15	157	0.329889381
15	113	0.35454084
15	24	0.35454084
15	223	0.294420545
15	11	0.096137097
15	84	0.096137097
15	40	0.260138402
15	4	0.006821266
15	5	0.020627381
15	57	0.096137097
15	128	0.213013239
15	6	0.424139706
15	102	0.50721203
15	96	0.523350231
15	54	0.45842185
15	46	0.034433497
15	506	0.401666003
15	17	0.096137097
15	47	0.260138402
15	25	0.096137097
15	6	0.034433497
15	2	0.065285297
15	21	0.096137097
15	27	0.096137097
15	10	0.294420545
15	46	0.411296687
15	109	0.377014543
15	118	0.213013239
15	19	0.329889381
15	151	0.424139706
15	8	0.034433497
15	5	0.020627381
15	536	0.424139706
15	5	0.020627381
15	94	0.45842185
15	87	0.3791923
15	445	0.524980396
15	113	0.492703993
15	37	0.492703993
15	8	0.310558746
15	40	0.401666003
15	349	0.424139706
15	18	0.35454084
15	166	0.401666003
15	120	0.401666003
15	272	0.521720067
15	70	0.50721203
15	22	0.213013239
15	30	0.329889381
15	56	0.492703993
15	34	0.411296687
15	65	0.424139706
15	283	0.401666003
15	68	0.424139706
15	44	0.424139706
15	12	0.424139706
15	42	0.492703993
15	7	0.260138402
15	11	0.294420545
15	5	0.294420545
15	39	0.424139706
15	38	0.45842185
15	502	0.424139706
15	23	0.310558746
15	13	0.294420545
15	19	0.45842185
15	14	0.424139706
15	34	0.435948147
15	517	0.50721203
15	112	0.424139706
15	30	0.492703993
15	45	0.45842185
15	2	0.017216749
15	131	0.329889381
15	11	0.349106809
15	62	0.237664699
15	82	0.310558746
15	50	0.096137097
15	2	0.017216749
15	112	0.401666003
15	28	0.492703993
15	19	0.065285297
15	106	0.45842185
15	12	0.294420545
15	20	0.3791923
15	12	0.020627381
15	11	0.294420545
15	10	0.034433497
15	70	0.065285297
15	261	0.329889381
15	17	0.329889381
15	12	0.034433497
15	42	0.093714435
15	122	0.094925766
15	5	0.096137097
15	15	0.065285297
15	11	0.093714435
15	28	0.034433497
15	14	0.020627381
15	10	0.065285297
15	13	0.096137097
15	90	0.260138402
15	56	0.094925766
15	23	0.294420545
15	14	0.424139706
15	65	0.065285297
15	2	0.017216749
15	28	0.096137097
15	33	0.096137097
15	19	0.329889381
15	2	0.065285297
15	64	0.329889381
15	39	0.492703993
50	11	0.424139706
50	18	0.13473435
50	25	0.208284797
50	7	0.36159824
50	74	0.459715892
50	105	0.494301662
50	43	0.421099252
50	34	0.430269047
50	146	0.563949242
50	25	0.363056982
50	18	0.492703993
50	275	0.422619479
50	4	0.13473435
50	2	0.13473435
50	6	0.246793765
50	43	0.329889381
50	16	0.304454333
50	4	0.13473435
50	18	0.378351142
50	21	0.422619479
50	19	0.36159824
50	3	0.635293451
50	60	0.797183117
50	114	0.920565533
50	83	0.651109255
50	18	0.511983055
50	7	0.558753439
50	54	0.598653795
50	228	0.92703506
50	16	0.486348467
50	230	1.273963966
50	56	0.920565533
50	34	0.797183117
50	177	0.672638019
50	48	0.615915429
50	68	0.797183117
50	87	0.797183117
50	15	0.226884106
50	247	0.918421853
50	4	1.164729539
50	4	0.171465431
50	566	0.935674056
50	108	1.118126101
50	11	0.479992941
50	9	0.343483694
50	6	0.608995975
50	2	0.126535431
50	592	0.797183117
50	55	0.791390681
50	48	0.36159824
50	118	0.927060849
50	45	1.168368836
50	45	0.848219072
50	12	0.304454333
50	62	0.591783767
50	7	0.285745085
50	12	0.411444938
50	3	0.173331603
50	487	0.920565533
50	23	0.333026287
50	19	0.652888165
50	206	0.886618201
50	13	0.633510143
50	18	0.615915429
50	47	0.596930144
50	10	0.320028682
50	77	0.651104858
50	2	0.035596024
50	63	0.654671473
50	19	0.222967277
50	165	0.431789275
50	6	0.044926345
50	24	0.479992941
50	5	0.13473435
50	79	0.651109255
50	14	0.246793765
50	6	0.199140789
50	7	0.414153512
50	157	0.492703993
50	58	0.466071418
50	38	0.502343524
50	39	0.651109255
50	97	0.418065192
50	6	0.547954185
50	2	0.206974447
50	4	0.109714009
50	22	0.421099252
50	2	0.173331603
50	4	0.133523019
50	21	0.206974447
50	300	0.479992941
50	14	0.977375069
50	19	0.492703993
50	24	0.439438843
50	21	0.246793765
50	187	0.678082177
50	4	0.43082296
50	128	0.419582222
50	6	0.329889381
50	73	0.724757415
15	157	0.329889381
15	4	0.096137097
15	2	0.065285297
15	25	0.020627381
